epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,7778.3,1.3242,5.24341,1.59682,0.85155,0.85204,0.91005,0.50274,1.58753,2.89176,2.0325,0.000657963,0.000657963,0.000657963
82,7873.23,1.31434,5.11956,1.6011,0.86312,0.8451,0.91385,0.50713,1.57381,2.90423,2.02234,0.00065055,0.00065055,0.00065055
83,7968.14,1.33301,5.16404,1.59864,0.86102,0.85158,0.91012,0.50373,1.57815,2.91995,2.03166,0.000643101,0.000643101,0.000643101
84,8062.82,1.32235,5.17371,1.60694,0.84674,0.85603,0.9087,0.50193,1.58281,2.90693,2.0346,0.000635617,0.000635617,0.000635617
85,8157.42,1.33198,5.19052,1.61509,0.87054,0.84752,0.91586,0.50721,1.58418,2.8577,2.03879,0.000628101,0.000628101,0.000628101
86,8252.49,1.3235,5.08409,1.59621,0.87224,0.8449,0.9172,0.50613,1.57772,2.84473,2.03415,0.000620555,0.000620555,0.000620555
87,8347.2,1.30154,5.0327,1.58386,0.87119,0.84919,0.91831,0.50584,1.58471,2.85589,2.03596,0.000612981,0.000612981,0.000612981
88,8441.95,1.29789,4.99418,1.59082,0.85279,0.86866,0.91446,0.51206,1.5564,2.86212,2.00392,0.00060538,0.00060538,0.00060538
89,8536.6,1.29091,5.01242,1.57843,0.85864,0.8591,0.91257,0.51372,1.5461,2.82043,2.00505,0.000597754,0.000597754,0.000597754
90,8631.6,1.30467,5.02324,1.58666,0.8719,0.85743,0.91324,0.50844,1.56443,2.81471,2.02037,0.000590105,0.000590105,0.000590105
91,8726.14,1.30153,4.95782,1.58465,0.86836,0.8664,0.91724,0.50793,1.5822,2.80903,2.03714,0.000582435,0.000582435,0.000582435
92,8820.87,1.29097,4.87223,1.57937,0.85851,0.86417,0.91706,0.51725,1.54358,2.78517,2.00647,0.000574746,0.000574746,0.000574746
93,8915.58,1.29256,4.95668,1.58329,0.87795,0.84888,0.91639,0.50554,1.59266,2.80503,2.0614,0.00056704,0.00056704,0.00056704
94,9010,1.28975,4.89821,1.58212,0.86286,0.86313,0.91381,0.50522,1.58904,2.81734,2.05165,0.000559318,0.000559318,0.000559318
95,9104.5,1.29671,4.98342,1.58599,0.8672,0.87094,0.92031,0.51585,1.5494,2.79313,2.00692,0.000551584,0.000551584,0.000551584
96,9199.08,1.29188,4.88108,1.58591,0.85262,0.86377,0.91918,0.51397,1.54358,2.78011,2.00499,0.000543837,0.000543837,0.000543837
97,9293.33,1.27702,4.91287,1.56245,0.8513,0.85323,0.91257,0.51418,1.54755,2.76809,2.00902,0.000536081,0.000536081,0.000536081
98,9387.69,1.28568,4.78299,1.57259,0.86207,0.87136,0.91901,0.51947,1.5463,2.73362,2.00513,0.000528318,0.000528318,0.000528318
99,9482.58,1.30014,4.81887,1.57833,0.86193,0.88004,0.92025,0.5183,1.55223,2.72527,2.01271,0.000520548,0.000520548,0.000520548
100,9577.1,1.28124,4.70458,1.58472,0.87721,0.86006,0.92358,0.51632,1.56346,2.7266,2.02752,0.000512775,0.000512775,0.000512775
101,9671.74,1.26727,4.78814,1.56714,0.86618,0.87099,0.92254,0.51556,1.55486,2.7409,2.01408,0.000505,0.000505,0.000505
102,9766.19,1.28379,4.7358,1.56778,0.8651,0.87306,0.92077,0.51677,1.55211,2.7416,2.01101,0.000497225,0.000497225,0.000497225
103,9860.56,1.27747,4.69404,1.5669,0.87004,0.87263,0.9214,0.51754,1.55299,2.70813,2.00951,0.000489452,0.000489452,0.000489452
104,9954.99,1.27484,4.64883,1.57514,0.8509,0.87874,0.91876,0.51338,1.56036,2.74249,2.0174,0.000481682,0.000481682,0.000481682
105,10049.4,1.26382,4.6295,1.5619,0.86259,0.86541,0.91798,0.51762,1.57055,2.75064,2.02806,0.000473919,0.000473919,0.000473919
106,10143.5,1.26484,4.65569,1.56884,0.8604,0.87565,0.91804,0.51437,1.56867,2.72179,2.0247,0.000466163,0.000466163,0.000466163
107,10237.6,1.27182,4.63031,1.57023,0.87822,0.86589,0.92042,0.51102,1.57282,2.70613,2.03655,0.000458416,0.000458416,0.000458416
108,10331.8,1.2606,4.68696,1.56039,0.86943,0.86761,0.92152,0.51519,1.57398,2.68674,2.04023,0.000450682,0.000450682,0.000450682
109,10426.1,1.25471,4.53403,1.56093,0.8856,0.85138,0.92252,0.51206,1.57053,2.7022,2.03501,0.00044296,0.00044296,0.00044296
110,10520.6,1.2503,4.50452,1.55857,0.86737,0.87265,0.92124,0.51434,1.57367,2.6726,2.04076,0.000435254,0.000435254,0.000435254
111,10614.8,1.25796,4.56078,1.55473,0.86861,0.8787,0.92316,0.51358,1.56915,2.65972,2.03556,0.000427565,0.000427565,0.000427565
112,10708.8,1.23561,4.46126,1.5393,0.87823,0.86209,0.9225,0.52214,1.55713,2.65677,2.02472,0.000419895,0.000419895,0.000419895
113,10803.1,1.25145,4.46861,1.54474,0.88068,0.85562,0.92236,0.51417,1.57501,2.64759,2.04702,0.000412246,0.000412246,0.000412246
114,10897.2,1.24926,4.44886,1.55142,0.88672,0.85468,0.92296,0.51808,1.56847,2.63791,2.03875,0.00040462,0.00040462,0.00040462
115,10991.1,1.23478,4.48231,1.5453,0.88512,0.85457,0.92402,0.52121,1.5558,2.6161,2.02532,0.000397019,0.000397019,0.000397019
116,11085.1,1.24366,4.51539,1.55219,0.87618,0.87254,0.92587,0.52417,1.55192,2.61064,2.02039,0.000389445,0.000389445,0.000389445
117,11179.2,1.23067,4.41496,1.53529,0.88369,0.86435,0.92383,0.52482,1.55165,2.61691,2.01903,0.000381899,0.000381899,0.000381899
118,11272.9,1.23075,4.34174,1.54096,0.87545,0.87396,0.92321,0.52361,1.5565,2.61943,2.02314,0.000374383,0.000374383,0.000374383
119,11366.7,1.22834,4.38744,1.53504,0.87789,0.8652,0.92322,0.52458,1.54978,2.59993,2.01598,0.000366899,0.000366899,0.000366899
120,11460.3,1.21239,4.31743,1.5355,0.87919,0.86522,0.9246,0.52391,1.55479,2.59827,2.02251,0.00035945,0.00035945,0.00035945
121,11554,1.21742,4.32144,1.52618,0.8746,0.87031,0.92403,0.52528,1.55167,2.58154,2.01984,0.000352037,0.000352037,0.000352037
122,11647.8,1.21298,4.30419,1.52679,0.89297,0.86181,0.9275,0.52664,1.55295,2.57985,2.02145,0.000344661,0.000344661,0.000344661
123,11741.8,1.21423,4.26759,1.52699,0.90018,0.85955,0.92826,0.52711,1.54999,2.57114,2.02066,0.000337325,0.000337325,0.000337325
124,11835.7,1.2281,4.34024,1.53766,0.89894,0.8634,0.92766,0.528,1.54369,2.56177,2.01427,0.00033003,0.00033003,0.00033003
125,11930,1.20638,4.24052,1.5121,0.89283,0.86543,0.92733,0.52861,1.54018,2.55857,2.00962,0.000322778,0.000322778,0.000322778
126,12024.6,1.21583,4.37164,1.53449,0.90086,0.86135,0.92556,0.52624,1.53887,2.57646,2.00995,0.000315572,0.000315572,0.000315572
127,12119,1.21438,4.21437,1.52996,0.89686,0.85962,0.92622,0.52786,1.54689,2.56738,2.0214,0.000308412,0.000308412,0.000308412
128,12213.3,1.20724,4.24719,1.51988,0.88549,0.86837,0.92702,0.52897,1.54733,2.56067,2.02497,0.0003013,0.0003013,0.0003013
129,12308,1.19605,4.17334,1.50234,0.88656,0.87151,0.92702,0.53012,1.54341,2.56108,2.01981,0.000294239,0.000294239,0.000294239
130,12403,1.19594,4.11906,1.50873,0.88765,0.86994,0.92744,0.53074,1.5454,2.56083,2.02306,0.00028723,0.00028723,0.00028723
131,12498.4,1.22102,4.12007,1.52011,0.89042,0.86475,0.9267,0.52645,1.54935,2.56839,2.02718,0.000280275,0.000280275,0.000280275
132,12593.6,1.20004,4.18334,1.51002,0.89017,0.8654,0.92696,0.5281,1.54512,2.56146,2.02299,0.000273375,0.000273375,0.000273375
133,12688.7,1.20325,4.11307,1.51123,0.89203,0.86356,0.9274,0.52722,1.54408,2.55081,2.02276,0.000266532,0.000266532,0.000266532
134,12783.6,1.17892,4.08146,1.50509,0.89333,0.86464,0.92796,0.52769,1.54361,2.5438,2.0224,0.000259748,0.000259748,0.000259748
135,12878.2,1.18455,4.05428,1.50377,0.88938,0.86752,0.92663,0.52694,1.54321,2.53448,2.02239,0.000253024,0.000253024,0.000253024
136,12972.8,1.19378,4.09686,1.50149,0.88437,0.87278,0.9266,0.52608,1.54608,2.52839,2.0255,0.000246363,0.000246363,0.000246363
137,13067.5,1.18898,4.05915,1.51147,0.88676,0.8694,0.9274,0.5258,1.55108,2.52882,2.03166,0.000239766,0.000239766,0.000239766
138,13162.2,1.19557,4.09236,1.50913,0.88976,0.86662,0.92846,0.52519,1.55379,2.52975,2.0332,0.000233234,0.000233234,0.000233234
139,13256.8,1.1811,3.99848,1.49372,0.87227,0.87828,0.92596,0.52346,1.55975,2.52883,2.04018,0.000226769,0.000226769,0.000226769
140,13351.5,1.17737,4.07685,1.50096,0.87408,0.87971,0.92704,0.52207,1.56516,2.53685,2.04634,0.000220372,0.000220372,0.000220372
141,13445.9,1.17885,3.94911,1.50298,0.86944,0.88416,0.92836,0.5207,1.56667,2.53917,2.05001,0.000214046,0.000214046,0.000214046
142,13540.1,1.18214,4.09176,1.50239,0.8781,0.87399,0.92553,0.52123,1.56376,2.54183,2.04747,0.000207792,0.000207792,0.000207792
143,13634.1,1.18218,3.99373,1.50082,0.89407,0.8622,0.92577,0.52278,1.56392,2.541,2.04869,0.000201611,0.000201611,0.000201611
144,13728.1,1.1665,3.9493,1.49563,0.88115,0.87664,0.92641,0.52301,1.565,2.53823,2.05047,0.000195505,0.000195505,0.000195505
145,13822.1,1.16637,3.94068,1.49333,0.88313,0.87209,0.92662,0.52263,1.56514,2.53636,2.05192,0.000189475,0.000189475,0.000189475
146,13916,1.1707,3.99285,1.50258,0.88852,0.8707,0.92837,0.52337,1.56569,2.53302,2.05357,0.000183523,0.000183523,0.000183523
147,14009.8,1.16589,3.99419,1.49218,0.88743,0.87643,0.92999,0.52666,1.56406,2.53124,2.05222,0.000177651,0.000177651,0.000177651
148,14103.6,1.16405,3.96407,1.49788,0.88629,0.87899,0.92973,0.52489,1.56419,2.52719,2.05341,0.000171859,0.000171859,0.000171859
149,14197.6,1.15964,3.89258,1.49132,0.88461,0.87681,0.92825,0.52482,1.56244,2.51719,2.05155,0.000166149,0.000166149,0.000166149
150,14291.6,1.15663,3.87919,1.48605,0.87137,0.88584,0.92841,0.52554,1.56213,2.51383,2.05182,0.000160523,0.000160523,0.000160523
151,14385.6,1.15938,3.99022,1.49288,0.88615,0.87404,0.9271,0.52489,1.56274,2.51241,2.05238,0.000154982,0.000154982,0.000154982
152,14479.7,1.15012,3.9033,1.47912,0.89206,0.8717,0.92707,0.52556,1.56423,2.51044,2.05459,0.000149527,0.000149527,0.000149527
153,14573.8,1.14068,3.74848,1.47499,0.87854,0.88056,0.92747,0.52553,1.56455,2.50571,2.05495,0.000144161,0.000144161,0.000144161
154,14668,1.14975,3.9163,1.48464,0.88295,0.88034,0.92834,0.5263,1.56445,2.50586,2.05525,0.000138883,0.000138883,0.000138883
155,14762.2,1.16766,3.86578,1.48394,0.8806,0.88265,0.92882,0.52628,1.56302,2.5032,2.05412,0.000133695,0.000133695,0.000133695
156,14856.5,1.14201,3.80265,1.47789,0.88156,0.88319,0.92928,0.52695,1.56249,2.49878,2.05356,0.000128599,0.000128599,0.000128599
157,14950.9,1.14773,3.86041,1.49066,0.88099,0.88356,0.92957,0.5286,1.5619,2.49741,2.05304,0.000123596,0.000123596,0.000123596
158,15045.1,1.13181,3.72878,1.47414,0.88172,0.88359,0.9303,0.529,1.56055,2.49433,2.05198,0.000118687,0.000118687,0.000118687
159,15139.4,1.1348,3.82358,1.47257,0.88235,0.88249,0.9299,0.52866,1.56059,2.49066,2.05257,0.000113873,0.000113873,0.000113873
160,15233.8,1.14796,3.75202,1.47772,0.90129,0.86253,0.93013,0.52754,1.56081,2.48875,2.05352,0.000109156,0.000109156,0.000109156
161,15328.1,1.15762,3.79312,1.47751,0.89483,0.86893,0.93081,0.52679,1.56134,2.48392,2.05457,0.000104537,0.000104537,0.000104537
162,15422.2,1.13367,3.82357,1.4763,0.89486,0.86959,0.93111,0.52749,1.5611,2.48028,2.05458,0.000100016,0.000100016,0.000100016
163,15516.6,1.13952,3.85012,1.46896,0.89095,0.87327,0.93116,0.52718,1.56056,2.47987,2.0545,9.55951e-05,9.55951e-05,9.55951e-05
164,15610.6,1.13475,3.76258,1.47476,0.88817,0.87393,0.93058,0.5266,1.56009,2.47717,2.05427,9.12754e-05,9.12754e-05,9.12754e-05
165,15704.9,1.13425,3.75611,1.46556,0.88967,0.87442,0.93153,0.52675,1.56071,2.47535,2.05563,8.70577e-05,8.70577e-05,8.70577e-05
166,15799.3,1.14036,3.67635,1.47106,0.88592,0.87686,0.93051,0.52721,1.56101,2.47507,2.05655,8.29431e-05,8.29431e-05,8.29431e-05
167,15893.6,1.15575,3.74429,1.47409,0.8857,0.87662,0.9297,0.52727,1.56213,2.47559,2.05842,7.89327e-05,7.89327e-05,7.89327e-05
168,15988.4,1.14108,3.82536,1.47914,0.90354,0.85835,0.92904,0.52722,1.56268,2.47535,2.05976,7.50274e-05,7.50274e-05,7.50274e-05
169,16083.6,1.13581,3.69765,1.46205,0.90236,0.85839,0.92906,0.52728,1.5635,2.47268,2.06159,7.12282e-05,7.12282e-05,7.12282e-05
